height_cm,positions,skill_moves(1-5),crossing,finishing,short_passing,dribbling,freekick_accuracy,long_passing,ball_control,acceleration,agility,shot_power,stamina,long_shots,interceptions,vision,marking,standing_tackle
170.18,"CM,LM",4,77,69,90,88,70,84,91,70,79,67,58,70,65,93,68,57
195.58,ST,5,73,86,79,79,82,73,84,58,75,90,61,82,20,79,28,37
154.94,CM,3,75,57,89,82,76,87,85,70,77,71,79,62,76,87,62,77
172.72,"RM,RW",4,80,80,82,82,60,71,82,90,93,79,84,77,52,77,55,40
175.26,"LM,RM,CAM,LW",4,74,81,79,87,62,68,83,92,86,85,68,81,38,74,45,48
175.26,CM,4,73,62,87,88,68,82,89,84,85,79,82,75,76,88,69,74
187.96,"CDM,CM",3,68,52,81,78,50,84,80,62,51,70,85,59,81,81,82,83
190.5,CB,2,45,39,74,57,30,67,62,60,52,46,78,41,81,50,85,85
154.94,LM,4,78,79,77,88,78,71,87,89,88,84,74,75,18,71,58,39
172.72,"RW,RM",4,83,72,83,82,71,75,82,86,86,80,90,76,62,83,62,62
175.26,"LM,ST,RM",5,79,86,78,84,76,73,82,90,87,82,83,83,33,81,36,30
187.96,"CM,CAM,CDM",3,75,73,84,81,75,79,83,84,76,78,86,80,82,82,72,76
193.04,"CM,CDM",3,70,69,85,79,59,83,83,73,79,80,82,79,80,80,70,81
187.96,CB,2,36,30,72,65,24,71,70,63,60,64,75,46,86,45,88,86
182.88,RB,4,86,58,79,85,69,75,84,91,78,80,90,66,77,74,79,79
190.5,CAM,4,78,80,81,82,87,79,84,77,76,84,76,88,58,81,55,62
152.4,"LM,RM,LW,RW",5,81,77,77,88,70,63,83,95,88,78,76,73,23,75,29,17
170.18,"LM,CAM,RM",4,83,75,84,85,81,75,86,86,87,79,79,78,66,84,55,59
195.58,CB,2,35,20,74,55,27,69,64,64,48,44,63,25,80,61,80,87
170.18,"RM,LM,ST",4,80,74,80,84,77,76,84,85,90,78,79,82,38,75,63,29
185.42,CB,2,36,23,78,60,27,69,76,72,62,58,73,35,82,60,85,84
187.96,GK,1,24,19,38,18,21,41,16,45,40,21,42,18,16,62,19,20
175.26,"RW,LW",4,75,77,74,84,65,67,81,94,91,76,80,76,45,75,42,35
172.72,RW,4,79,75,80,85,81,73,85,87,92,85,74,85,26,81,21,28
167.64,"CDM,CM",3,74,50,83,78,78,77,81,81,85,78,85,74,86,74,84,84
152.4,"LM,ST,RM,LW",4,78,75,77,86,70,69,81,89,85,81,75,77,50,77,24,34
175.26,"CM,CAM,CDM",4,75,77,82,84,72,84,84,77,82,80,80,76,65,84,61,67
187.96,"CM,CDM,CAM",4,72,79,80,83,59,80,83,69,73,75,75,83,77,84,70,78
154.94,"CM,CDM,CB",4,75,52,87,86,64,82,88,80,84,68,74,57,78,85,69,73
190.5,GK,1,10,8,18,9,18,16,21,41,34,21,29,7,23,71,20,17
154.94,"CB,CDM",2,40,56,67,60,58,58,64,68,61,74,76,61,82,50,77,85
175.26,"CDM,CM",2,61,53,82,77,57,78,76,80,72,60,93,59,82,77,83,86
170.18,CM,4,70,72,86,83,60,80,84,68,79,76,78,74,75,84,65,76
190.5,"CM,CDM",4,63,64,84,77,54,80,82,70,69,70,82,76,81,83,71,79
182.88,"CDM,CM",3,70,70,80,75,55,83,79,68,67,87,88,86,80,78,78,80
154.94,"CF,ST,CAM",4,81,83,84,82,69,80,85,69,74,81,71,79,41,84,57,38
182.88,"CDM,CM",3,81,67,84,73,74,84,80,67,68,77,91,71,80,83,77,79
172.72,CAM,4,80,71,81,84,72,75,83,84,87,72,69,73,40,82,35,42
193.04,ST,4,78,78,78,84,72,74,85,79,69,84,78,75,44,77,43,48
162.56,"CF,ST",4,72,78,80,86,93,76,86,88,94,80,77,81,26,78,23,29
185.42,CAM,3,86,77,85,80,86,80,85,58,68,83,86,86,55,86,57,57
172.72,"CAM,RW",4,77,77,82,82,71,80,84,85,85,78,82,76,42,80,49,43
193.04,GK,1,16,10,29,19,11,25,25,42,41,23,35,12,23,36,25,16
187.96,"CDM,CB",3,63,48,79,68,60,76,73,63,65,78,85,73,83,69,82,81
152.4,"RB,RWB",3,91,48,79,75,83,78,81,76,74,75,88,70,79,80,77,82
182.88,"CM,CDM,CAM",3,75,74,84,81,66,80,82,65,73,81,89,74,69,79,66,70
187.96,ST,4,68,83,78,81,78,66,85,75,71,89,66,79,30,74,10,22
175.26,RM,5,76,79,81,87,72,73,88,85,92,77,78,78,51,82,45,49
172.72,"LM,CAM",4,73,76,77,87,73,75,85,93,90,83,79,83,49,79,38,53
154.94,"CM,LW",4,82,70,84,83,78,80,85,75,77,84,84,86,72,82,74,72
187.96,"CM,CDM",4,65,69,81,78,56,79,83,69,76,86,78,80,79,79,78,82
175.26,"LB,LWB,LM",3,81,64,77,79,56,70,79,87,77,75,84,65,77,71,75,84
185.42,ST,4,52,80,71,77,56,45,79,77,76,85,76,72,40,66,54,42
154.94,RB,3,82,44,77,74,57,70,79,78,67,75,87,58,80,68,79,81
190.5,"CDM,CM",3,61,46,80,71,51,72,81,52,66,54,93,42,81,73,80,80
185.42,LB,3,87,33,80,80,34,69,79,77,68,79,81,65,79,76,78,79
152.4,"CAM,CM",3,70,79,79,79,63,67,81,83,75,86,84,81,55,79,58,55
187.96,CB,2,46,30,73,43,68,69,65,65,65,44,62,22,78,55,83,83
154.94,"ST,LW",4,78,82,76,78,74,68,79,78,79,83,82,81,39,78,29,40
187.96,"CB,CDM",2,68,55,77,62,42,71,72,55,55,74,74,46,80,69,83,84
154.94,ST,4,61,78,75,78,56,56,80,76,70,80,77,77,40,58,43,41
182.88,"CDM,CM",3,68,73,82,78,42,74,80,63,60,84,93,75,82,77,79,83
170.18,"LM,LB,CM",4,85,75,84,83,82,77,84,82,88,79,74,82,84,79,67,70
175.26,"RB,RM",3,81,62,80,83,45,78,79,88,82,68,84,62,81,76,76,83
182.88,"RM,LM,CM",4,80,76,80,84,75,76,82,85,83,78,55,72,50,80,45,43
185.42,"LM,RM,CAM",4,77,77,81,87,59,68,85,78,82,80,73,78,29,82,38,20
182.88,"RM,RW,ST",4,69,80,72,85,65,63,81,90,90,80,78,73,25,80,28,27
152.4,"LW,RW",4,73,74,76,87,66,53,84,88,79,78,78,74,30,75,47,31
187.96,GK,1,15,12,33,26,17,26,38,64,68,21,39,17,15,62,12,18
187.96,CB,2,33,31,71,47,34,56,56,56,42,71,76,34,80,45,82,82
185.42,ST,4,59,83,69,77,33,58,80,77,77,76,77,60,55,68,28,40
154.94,"LW,LM,RW",3,81,78,80,84,71,73,85,72,70,73,72,79,29,79,50,32
152.4,"CDM,CM",2,75,58,78,75,73,75,77,69,78,72,89,64,79,73,80,81
152.4,"LB,LM",4,82,51,78,77,52,71,78,78,83,55,89,53,77,75,70,77
154.94,"ST,LW,LM",4,69,79,75,84,65,59,80,83,78,80,78,64,35,72,46,44
175.26,RB,3,81,45,77,69,30,70,77,80,78,58,80,59,75,63,83,79
154.94,"RM,CM",4,79,74,84,80,82,77,82,75,75,77,78,73,68,83,60,65
175.26,"CM,LM",4,68,72,84,84,59,78,82,79,81,61,79,67,66,84,64,64
154.94,"CM,CDM",4,67,59,83,86,63,79,84,84,83,80,78,70,73,79,66,73
185.42,ST,4,56,85,76,76,53,58,77,61,45,79,71,76,21,60,35,20
152.4,"LM,ST,RM",4,86,80,83,85,77,84,83,72,72,74,54,76,35,85,41,47
187.96,CB,2,79,52,73,65,79,77,62,68,52,80,78,74,82,58,86,84
193.04,CB,2,54,36,77,65,22,74,69,55,55,66,73,48,83,72,80,84
175.26,"RB,RWB",3,83,54,78,76,30,72,79,79,73,71,77,58,79,71,75,81
187.96,"CDM,CM",2,52,49,78,63,53,75,74,65,53,78,77,66,83,67,80,82
175.26,"CM,RM",4,78,69,80,84,60,75,84,84,81,80,82,76,72,81,67,70
182.88,GK,1,23,11,40,13,12,45,24,53,53,35,34,18,23,68,10,20
182.88,ST,5,57,80,75,81,67,68,80,76,72,81,82,75,33,81,44,23
152.4,ST,4,62,78,75,85,60,55,83,86,85,80,74,65,16,73,26,24
182.88,"CB,RB",2,65,41,66,53,35,60,66,70,64,54,76,22,81,50,85,79
152.4,"RM,RW,LM",3,79,79,77,82,81,78,81,79,79,83,75,79,45,80,73,58
152.4,"LM,RM",4,78,74,77,82,72,70,81,92,82,79,73,71,33,74,55,30
152.4,LB,4,80,60,81,83,50,67,81,84,72,75,88,73,79,71,77,74
182.88,CB,2,78,41,79,66,49,75,74,67,78,52,69,49,84,68,79,82
195.58,GK,1,13,15,37,16,11,37,19,50,51,14,42,12,26,48,12,15
182.88,CB,2,56,37,68,58,26,62,64,75,77,68,72,13,81,54,77,80
187.96,"CDM,CB,CM",2,67,52,77,65,74,78,70,62,52,82,78,72,81,67,82,81
195.58,GK,1,11,16,40,21,14,30,36,58,55,29,40,13,27,40,23,13
185.42,GK,1,11,10,36,14,11,34,20,34,52,21,28,13,25,34,25,10
175.26,ST,3,73,80,81,74,83,82,80,65,66,85,74,80,56,82,57,55
187.96,GK,1,11,11,31,13,12,35,24,46,54,21,30,16,11,68,15,14
175.26,ST,4,66,85,72,78,73,70,80,77,84,77,77,75,52,72,35,58
175.26,"CDM,CB",2,63,42,79,58,50,75,80,69,72,76,76,55,85,68,78,81
175.26,"CF,ST",4,78,78,83,87,77,76,85,69,83,77,62,74,45,81,43,42
195.58,GK,1,11,12,28,11,11,23,23,34,48,22,42,11,16,53,16,13
154.94,RB,3,81,54,77,75,59,66,78,74,74,68,80,53,76,72,75,81
175.26,CDM,3,66,61,82,73,54,74,78,67,77,71,85,63,80,74,81,81
185.42,GK,1,19,13,23,15,13,22,22,51,53,24,35,13,17,59,18,13
187.96,ST,3,72,83,71,73,70,68,72,71,66,84,71,79,51,72,33,41
193.04,CB,2,49,51,73,49,40,67,63,46,55,74,67,59,82,49,82,83
175.26,"LM,CAM",4,77,70,80,86,70,72,83,83,82,81,72,82,68,77,62,69
187.96,CB,2,58,47,74,57,55,76,74,38,52,64,62,53,79,62,80,82
154.94,CB,2,65,55,74,62,51,77,73,59,63,65,71,61,83,63,77,84
175.26,"CAM,CDM",4,78,67,89,82,76,85,86,55,72,72,69,70,70,86,65,66
185.42,"RW,RM",4,82,71,79,85,65,74,82,84,85,74,68,71,36,80,30,22
185.42,"LB,CDM",3,79,55,78,74,65,74,77,75,67,69,82,61,81,72,76,79
182.88,ST,4,50,82,73,76,66,63,77,74,77,76,81,66,19,64,22,37
175.26,CM,3,73,66,82,84,64,78,83,72,78,65,78,69,67,80,66,66
193.04,GK,1,15,14,39,20,19,44,12,37,38,25,43,19,12,60,20,18
175.26,"CAM,RM,LM",3,81,69,79,80,71,72,79,78,78,68,82,68,57,77,49,44
172.72,"RM,CAM,CM",4,78,67,77,84,72,74,83,76,86,67,68,68,46,79,52,41
170.18,LWB,4,78,43,74,74,54,59,77,77,72,68,83,45,80,66,77,80
187.96,"CDM,CB,CM",2,75,66,79,69,71,78,74,61,59,86,89,76,78,76,76,78
182.88,"CDM,CM,LM",4,69,65,81,82,65,79,82,74,70,65,90,67,75,72,81,79
172.72,LM,3,77,74,76,80,70,69,81,78,85,78,80,71,55,76,32,44
152.4,"CDM,CM,RM",4,67,63,82,78,77,81,81,74,78,81,84,79,76,80,73,77
152.4,"CDM,CM",3,66,56,77,69,65,76,77,74,75,82,90,75,80,68,78,81
185.42,"CDM,CM,CB",3,69,40,78,75,60,74,77,76,68,82,83,71,79,72,79,80
182.88,CDM,3,58,48,80,69,60,83,73,54,60,73,86,66,76,69,74,80
152.4,ST,3,55,86,67,71,60,65,75,78,77,82,77,80,28,69,45,25
193.04,GK,1,12,27,29,13,17,25,17,41,41,38,38,12,23,15,13,15
175.26,RB,3,78,54,75,76,39,66,78,77,79,74,76,69,79,64,78,81
182.88,"CAM,LW",4,72,69,78,85,83,70,86,81,81,78,68,78,32,77,39,35
152.4,"RM,LM",4,82,70,78,79,77,75,78,79,76,82,82,74,62,79,60,63
154.94,"ST,CAM",4,67,75,75,76,80,66,77,86,77,86,79,72,56,78,30,57
185.42,ST,3,56,78,72,75,46,49,80,65,65,82,71,75,37,65,35,34
175.26,"LB,LM",3,81,56,77,68,69,77,75,72,74,81,83,63,81,63,80,76
187.96,GK,1,14,13,16,19,12,29,12,48,49,22,42,16,23,40,16,16
185.42,CB,2,54,37,71,53,46,70,69,55,56,59,72,38,79,56,80,80
170.18,"CDM,CB",3,50,31,79,63,45,73,71,72,78,65,84,59,81,68,75,83
152.4,"CAM,LW",4,79,74,78,84,78,76,83,75,85,78,84,79,66,78,50,54
175.26,RB,3,83,28,71,69,38,68,80,71,77,74,91,39,81,64,69,81
175.26,"LM,CM",3,70,77,82,80,54,80,81,81,75,67,67,78,66,79,45,72
175.26,"ST,CF,CAM,LM",4,79,79,77,79,79,69,81,75,80,85,69,83,61,79,30,49
185.42,CB,2,60,44,73,59,35,67,64,54,52,68,64,59,80,54,76,80
182.88,ST,3,37,84,71,75,51,67,75,67,67,78,72,77,20,72,30,32
175.26,"LW,RW",5,71,70,73,82,62,66,81,92,93,74,79,68,26,71,32,25
182.88,"LWB,LB,CB,LM",3,77,66,76,72,43,70,77,83,65,68,79,61,75,61,70,78
170.18,"CM,CDM",4,80,68,85,78,80,86,81,54,68,77,58,76,66,85,65,67
185.42,ST,3,68,76,77,80,63,51,78,71,70,83,60,72,20,76,39,22
182.88,"CDM,CB,CM",3,76,69,82,71,74,83,78,36,61,81,67,77,73,81,76,72
187.96,ST,3,68,82,66,69,70,60,69,81,72,85,69,74,33,64,29,29
187.96,ST,3,60,80,68,71,36,50,71,63,62,84,60,71,20,62,40,31
175.26,"RB,LB",4,83,64,78,77,75,69,78,77,76,75,75,65,77,74,76,78
185.42,LW,4,72,77,71,82,50,66,80,83,77,85,77,82,34,74,39,28
187.96,GK,1,11,14,35,13,11,33,12,49,38,22,28,15,22,44,16,11
182.88,"LM,ST,RM",4,67,82,79,87,62,68,86,67,76,76,64,67,32,78,50,38
172.72,"ST,CAM",4,77,80,80,82,79,65,83,85,87,79,68,78,31,83,40,40
152.4,"CAM,ST",5,70,70,78,88,73,74,80,77,82,78,60,75,36,78,31,27
193.04,GK,1,15,18,36,14,17,32,25,50,45,27,32,14,23,42,22,15
187.96,GK,1,17,12,32,17,13,37,28,56,54,14,40,12,24,46,16,15
152.4,ST,4,51,81,69,78,53,52,81,64,86,83,63,78,18,56,35,35
193.04,CB,2,28,56,63,56,27,60,60,38,49,63,61,64,77,56,79,82
185.42,"LM,RM,LW",4,69,64,81,84,40,63,84,80,78,70,74,54,24,81,30,26
190.5,"CM,LM",4,62,65,83,82,57,81,81,68,76,65,75,62,57,79,59,67
187.96,GK,1,16,14,33,19,15,35,25,33,35,25,24,19,25,58,15,18
185.42,"LWB,LM,LB",3,79,62,78,78,68,70,79,89,74,80,70,61,72,65,67,78
152.4,"CDM,CM",3,59,30,78,66,31,65,69,76,75,53,93,39,80,65,85,81
185.42,CB,2,44,45,66,36,26,57,62,52,36,55,84,54,80,33,78,79
190.5,GK,1,12,14,26,15,17,27,14,48,43,25,42,14,21,46,17,20
193.04,CB,2,45,22,59,49,23,59,61,62,49,39,67,29,80,31,79,80
187.96,ST,3,29,78,70,66,52,43,75,60,67,82,64,70,14,68,25,24
193.04,GK,1,13,18,32,19,21,19,22,48,55,19,37,17,29,44,26,17
175.26,RB,3,77,56,73,76,58,56,76,82,75,81,92,62,73,72,68,78
175.26,"RB,LB",3,78,34,75,77,34,61,76,77,77,71,87,65,77,52,76,79
175.26,"CM,CDM",4,76,73,78,76,74,78,81,52,67,88,73,86,71,81,66,72
170.18,"CM,CDM",4,68,59,84,77,55,76,82,70,78,62,86,65,74,76,69,74
182.88,"ST,CF,LM,CAM",4,66,80,78,84,65,62,82,83,83,82,68,79,39,74,39,48
152.4,"RB,RWB",3,77,51,79,76,56,77,78,74,69,72,77,69,76,66,79,80
193.04,CB,2,32,37,71,60,39,74,68,38,47,72,64,21,78,45,80,76
187.96,CB,2,49,25,68,42,33,64,68,60,56,52,68,24,81,51,81,81
152.4,"LM,LW,ST",4,72,74,77,82,80,71,81,89,83,76,68,77,37,73,25,30
185.42,CB,2,25,25,66,62,52,64,63,66,55,67,75,34,80,32,80,82
182.88,CAM,4,74,64,80,83,70,74,85,69,72,72,68,66,30,80,61,34
182.88,"LB,LWB",4,79,73,80,76,53,72,80,79,75,69,77,67,74,75,71,77
182.88,CB,2,53,48,63,55,63,81,62,63,62,83,72,71,76,65,77,81
187.96,"RWB,RB,RM",3,79,39,75,73,49,70,74,77,68,65,87,55,74,64,76,78
175.26,"CDM,CM",3,60,63,81,70,84,82,76,70,74,76,80,76,80,75,69,78
195.58,CB,2,50,32,71,53,35,60,62,57,55,52,58,21,76,52,72,79
187.96,GK,1,9,12,26,15,16,23,22,36,40,21,31,15,13,34,16,17
152.4,"ST,RW",4,70,79,67,83,69,60,82,88,82,79,59,78,37,75,50,15
182.88,CB,2,51,22,69,48,45,57,67,72,68,48,78,26,79,39,76,78
170.18,"CAM,CM,LM",4,73,65,79,84,70,72,80,90,92,70,78,62,52,75,56,55
154.94,"RM,RW",4,78,73,73,85,55,61,82,86,80,76,67,75,34,73,19,32
152.4,"LM,CAM,RM",4,77,71,80,77,64,75,78,84,79,76,80,70,36,73,40,31
190.5,GK,1,19,16,22,15,11,36,23,44,45,22,33,18,23,47,20,15
182.88,"RB,RW",4,80,59,75,75,53,69,75,81,76,73,93,56,76,66,69,74
170.18,CAM,4,73,70,79,82,78,74,80,83,91,73,73,73,56,74,31,34
195.58,GK,1,14,14,34,23,13,35,20,56,50,40,28,19,25,42,16,14
175.26,"RM,CAM,LM",3,79,77,80,80,78,78,79,71,80,76,60,75,40,79,30,26
170.18,RM,4,80,75,79,80,67,75,83,74,80,73,77,74,42,80,50,45
190.5,ST,3,31,78,64,69,58,37,73,67,54,85,62,66,29,58,30,45
154.94,"ST,RM",4,74,77,75,78,77,69,80,76,70,82,69,76,38,78,25,24
152.4,"RM,ST",4,78,73,73,74,75,72,79,84,75,75,72,72,39,78,17,43
198.12,GK,1,14,19,26,16,15,32,24,52,52,28,36,12,21,34,18,11
154.94,CB,3,60,45,73,63,48,72,73,33,51,55,54,58,80,67,83,77
182.88,CDM,2,63,39,81,65,49,71,74,68,65,73,88,39,77,64,79,80
154.94,"CM,LM,RM",4,79,73,82,76,78,81,79,58,68,77,60,77,74,79,58,76
172.72,"CM,CAM,LM",3,83,68,77,80,82,78,80,76,86,78,91,78,75,77,68,66
152.4,"RW,RWB",4,76,69,76,82,61,70,81,79,76,74,85,69,73,72,74,74
175.26,RB,3,77,62,75,74,61,73,75,74,74,74,74,68,77,64,79,78
193.04,CB,2,41,28,66,40,27,51,57,45,31,56,56,24,77,30,79,77
187.96,GK,1,35,15,23,14,20,28,13,59,57,24,44,12,18,44,20,11
182.88,"LM,RB",3,76,70,76,79,57,69,76,78,73,69,76,58,65,73,62,75
154.94,LB,3,80,36,77,71,54,64,75,77,69,62,78,51,78,62,78,78
187.96,"CAM,RW",3,73,73,75,79,73,70,83,72,74,81,67,76,30,77,36,40
154.94,"ST,RM",4,75,79,69,77,71,60,75,91,83,75,80,64,32,65,34,20
185.42,"ST,RM",3,68,77,72,75,52,69,72,75,69,78,79,69,39,68,54,32
172.72,"RM,CM",3,89,64,84,73,83,82,82,66,75,74,78,73,65,82,60,65
172.72,"RM,LM,RW,CAM",4,76,74,72,79,76,68,79,87,93,83,74,82,33,74,53,55
182.88,"CDM,CM",2,65,60,77,62,54,74,75,46,66,74,81,56,79,66,75,81
152.4,"ST,RM,RWB,LM",4,74,72,73,79,60,65,75,84,84,75,70,72,40,68,50,56
175.26,"CM,CDM",3,77,67,81,77,74,80,80,64,67,83,69,77,78,77,60,76
185.42,CB,2,41,31,70,54,30,61,67,55,55,48,68,23,78,45,77,78
182.88,CB,2,60,30,59,59,31,56,62,62,63,60,71,39,79,60,78,79
172.72,"LB,RB",4,81,59,79,81,69,77,82,77,77,87,74,87,78,69,78,79
152.4,"RM,RW",4,79,74,74,80,68,63,78,90,75,80,74,75,23,75,35,39
185.42,ST,3,48,75,68,70,52,40,71,69,66,85,72,68,33,53,36,23
152.4,"CM,CDM,RM",4,78,71,80,79,80,77,80,78,79,73,72,77,70,76,67,65
187.96,ST,3,65,80,77,72,56,47,76,41,60,81,51,66,30,71,59,29
187.96,"LM,LW",4,75,73,75,74,65,70,76,78,77,77,85,72,67,73,63,52
172.72,"RM,LM",3,75,75,71,83,61,66,75,84,85,71,73,63,48,69,36,49
152.4,"CAM,ST,RM",4,74,66,79,76,61,73,78,83,81,71,73,72,45,80,30,32
154.94,ST,4,56,76,66,74,35,58,75,71,72,78,74,69,37,67,55,39
154.94,RM,4,71,72,72,83,46,62,79,79,76,84,78,79,42,75,42,37
190.5,ST,3,45,79,64,70,43,55,75,74,54,73,75,68,31,55,28,33
182.88,GK,1,15,14,44,25,15,40,35,59,57,25,40,14,26,51,22,14
154.94,"CDM,CM",3,66,57,78,68,56,77,76,58,65,78,92,67,76,70,76,74
182.88,CB,2,30,22,74,59,33,62,69,69,67,48,67,27,79,45,76,78
152.4,"ST,CF",4,75,76,73,78,71,63,78,78,73,83,70,80,24,73,25,33
190.5,GK,1,12,13,29,19,17,25,17,40,69,22,42,11,20,28,14,17
152.4,"ST,CAM",4,70,80,73,77,63,69,81,63,72,78,67,76,25,76,21,26
190.5,GK,1,13,9,29,11,16,24,12,44,56,19,37,12,23,63,12,9
185.42,CB,2,55,39,76,58,35,72,73,65,65,45,72,37,80,51,76,77
154.94,RB,3,75,38,76,75,44,72,75,77,75,68,76,60,75,68,76,76
182.88,"CB,LB",2,63,52,80,55,64,78,64,67,61,78,52,68,73,51,72,79
187.96,ST,3,63,79,67,70,69,48,74,63,63,79,70,72,24,61,47,30
185.42,"CDM,CM",3,68,50,77,74,62,79,76,64,68,74,76,65,76,78,72,78
190.5,CB,2,34,21,57,45,29,50,52,66,46,40,54,26,81,31,78,79
190.5,"ST,RW",4,63,78,70,78,53,62,78,78,76,76,82,63,47,72,28,25
193.04,GK,1,15,14,39,12,14,38,31,45,68,36,32,11,24,45,20,15
185.42,CB,3,50,33,76,63,45,78,71,67,59,64,43,34,74,57,73,79
152.4,"CM,CDM",3,81,67,83,76,86,77,81,58,68,83,65,81,79,81,67,52
170.18,ST,3,54,85,66,74,68,43,77,73,77,84,55,78,19,65,30,20
193.04,GK,1,12,15,34,14,12,29,19,49,58,14,38,12,27,43,22,22
182.88,ST,4,49,76,61,80,53,47,76,84,75,73,78,62,30,60,17,45
182.88,"RW,LW",3,76,76,75,80,70,58,78,77,74,82,72,82,39,75,41,39
185.42,"CDM,CM",3,71,62,75,74,55,74,73,63,74,78,76,76,85,67,79,79
187.96,"CB,CDM",3,42,42,71,66,39,69,70,54,62,55,72,45,78,57,79,79
175.26,"ST,LW",4,70,76,76,82,67,56,84,79,79,70,65,60,39,77,40,33
185.42,ST,3,60,78,66,76,42,50,79,89,81,72,69,66,30,58,26,20
175.26,ST,3,64,79,73,70,66,65,83,68,72,71,69,67,33,74,31,32
190.5,CB,2,11,20,50,52,39,54,54,61,54,61,63,37,78,34,80,80
193.04,ST,3,50,80,65,64,44,40,74,63,54,79,68,73,23,59,37,42
175.26,"CM,CDM,CAM",3,79,68,80,78,78,77,81,75,79,84,77,79,63,78,50,54
195.58,CB,2,53,54,64,35,47,59,67,49,33,66,66,57,73,50,77,79
172.72,"RWB,RM",3,78,53,76,79,34,63,80,87,82,57,69,52,69,64,76,79
172.72,"RB,RWB",3,70,57,75,75,64,69,76,79,74,76,86,74,74,65,68,80
185.42,CB,2,44,24,53,40,43,50,52,58,53,68,52,58,64,44,75,80
